ARF5	ENST00000000233	ENSCAFT00000002708
LTO1	ENST00000279147	ENSCAFT00000017021
NUDT22	ENST00000279206	ENSCAFT00000023150
FERMT3	ENST00000279227	ENSCAFT00000023225
PLCB3	ENST00000279230	ENSCAFT00000047129
MRPL49	ENST00000279242	ENSCAFT00000022088
CAPN1	ENST00000279247	ENSCAFT00000021965
CDC42EP2	ENST00000279249	ENSCAFT00000021666
TM7SF2	ENST00000279263	ENSCAFT00000022140
VPS51	ENST00000279281	ENSCAFT00000022152
TBX6	ENST00000279386	ENSCAFT00000027069
PPP4C	ENST00000279387	ENSCAFT00000027067
HIRIP3	ENST00000279392	ENSCAFT00000027014
DUSP6	ENST00000279488	ENSCAFT00000009874
OR8K1	ENST00000279783	ENSCAFT00000042934
CTF1	ENST00000279804	ENSCAFT00000026474
CWC15	ENST00000279839	ENSCAFT00000006620
ARID5B	ENST00000279873	ENSCAFT00000048488
UHRF1BP1L	ENST00000279907	ENSCAFT00000010792
TMEM218	ENST00000279968	ENSCAFT00000047868
KIAA1328	ENST00000280020	ENSCAFT00000028168
HNMT	ENST00000280097	ENSCAFT00000008347
SPOPL	ENST00000280098	ENSCAFT00000043359
PDCD4	ENST00000280154	ENSCAFT00000043851
ADRA2A	ENST00000280155	ENSCAFT00000017233
GPM6A	ENST00000280187	ENSCAFT00000013506
WDR17	ENST00000280190	ENSCAFT00000072562
SPATA4	ENST00000280191	ENSCAFT00000049176
CD226	ENST00000280200	ENSCAFT00000047983
PRSS23	ENST00000280258	ENSCAFT00000007083
CCT5	ENST00000280326	ENSCAFT00000016033
DOCK1	ENST00000280333	ENSCAFT00000020816
DLAT	ENST00000280346	ENSCAFT00000022258
PIH1D2	ENST00000280350	ENSCAFT00000079873
NKAPD1	ENST00000280352	ENSCAFT00000086539
IL18	ENST00000280357	ENSCAFT00000049831
TEX12	ENST00000280358	ENSCAFT00000022196
PTS	ENST00000280362	ENSCAFT00000042885
USP15	ENST00000280377	ENSCAFT00000000496
FREM2	ENST00000280481	ENSCAFT00000009710
CRIM1	ENST00000280527	ENSCAFT00000009500
SEC24D	ENST00000280551	ENSCAFT00000019635
DENR	ENST00000280557	ENSCAFT00000044193
ABCB9	ENST00000280560	ENSCAFT00000012293
RILPL2	ENST00000280571	ENSCAFT00000067313
PRSS53	ENST00000280606	ENSCAFT00000026587
SLC7A11	ENST00000280612	ENSCAFT00000076935
NOCT	ENST00000280614	ENSCAFT00000005996
DCP1B	ENST00000280665	ENSCAFT00000084559
KCNA6	ENST00000280684	ENSCAFT00000046627
NGLY1	ENST00000280700	ENSCAFT00000009158
OXSM	ENST00000280701	ENSCAFT00000009139
LDHC	ENST00000280704	ENSCAFT00000084550
TMEM86A	ENST00000280734	ENSCAFT00000043489
TMEM263	ENST00000280756	ENSCAFT00000002829
BTBD11	ENST00000280758	ENSCAFT00000002814
ANK3	ENST00000280772	ENSCAFT00000020300
PLBD2	ENST00000280800	ENSCAFT00000014432
SLC2A13	ENST00000280871	ENSCAFT00000080514
DIP2C	ENST00000280886	ENSCAFT00000009094
AKAP6	ENST00000280979	ENSCAFT00000020907
TMEM18	ENST00000281017	ENSCAFT00000072283
THRSP	ENST00000281030	ENSCAFT00000007803
MSGN1	ENST00000281047	ENSCAFT00000006026
NUBPL	ENST00000281081	ENSCAFT00000087179
ATP6V1G3	ENST00000281087	ENSCAFT00000018001
FER	ENST00000281092	ENSCAFT00000011913
CEP128	ENST00000281129	ENSCAFT00000027397
CDC123	ENST00000281141	ENSCAFT00000076251
SCLT1	ENST00000281142	ENSCAFT00000047193
KHDRBS2	ENST00000281156	ENSCAFT00000003891
PTPRO	ENST00000281171	ENSCAFT00000020369
EPS8	ENST00000281172	ENSCAFT00000084563
ACAD8	ENST00000281182	ENSCAFT00000067439
VPS26B	ENST00000281187	ENSCAFT00000044040
QDPR	ENST00000281243	ENSCAFT00000091691
QTRT2	ENST00000281273	ENSCAFT00000017117
CGNL1	ENST00000281282	ENSCAFT00000025797
MMAA	ENST00000281317	ENSCAFT00000044136
POU4F2	ENST00000281321	ENSCAFT00000012393
PIGF	ENST00000281382	ENSCAFT00000004138
MFSD6	ENST00000281416	ENSCAFT00000015072
ASAP2	ENST00000281419	ENSCAFT00000005403
BARX2	ENST00000281437	ENSCAFT00000016227
TMEM45B	ENST00000281441	ENSCAFT00000016219
CENPU	ENST00000281453	ENSCAFT00000085411
ACSL1	ENST00000281455	ENSCAFT00000089501
SLC25A4	ENST00000281456	ENSCAFT00000062599
BICD1	ENST00000281474	ENSCAFT00000016892
NBAS	ENST00000281513	ENSCAFT00000005893
ZNF385D	ENST00000281523	ENSCAFT00000060342
GUF1	ENST00000281543	ENSCAFT00000002935
FBXO4	ENST00000281623	ENSCAFT00000029504
PARP8	ENST00000281631	ENSCAFT00000076913
NVL	ENST00000281701	ENSCAFT00000049264
FBXW7	ENST00000281708	ENSCAFT00000012962
RBM46	ENST00000281722	ENSCAFT00000037016
TXNDC16	ENST00000281741	ENSCAFT00000023374
KANSL1L	ENST00000281772	ENSCAFT00000021960
MCHR2	ENST00000281806	ENSCAFT00000005671
EPHA4	ENST00000281821	ENSCAFT00000025379
FARSB	ENST00000281828	ENSCAFT00000025570
KCNE4	ENST00000281830	ENSCAFT00000035999
TNFSF4	ENST00000281834	ENSCAFT00000023152
MGAT5	ENST00000281923	ENSCAFT00000008054
TMEM163	ENST00000281924	ENSCAFT00000008057
MED13L	ENST00000281928	ENSCAFT00000014752
HSPB8	ENST00000281938	ENSCAFT00000049861
GEMIN6	ENST00000281950	ENSCAFT00000046481
TMEM178A	ENST00000281961	ENSCAFT00000010440
OBI1	ENST00000282003	ENSCAFT00000044741
CYSLTR2	ENST00000282018	ENSCAFT00000007130
GRID2	ENST00000282020	ENSCAFT00000038682
SETBP1	ENST00000282030	ENSCAFT00000028030
ARL14EP	ENST00000282032	ENSCAFT00000046478
EPG5	ENST00000282041	ENSCAFT00000028007
ATP5F1A	ENST00000282050	ENSCAFT00000027989
HAUS1	ENST00000282058	ENSCAFT00000065858
SPC25	ENST00000282074	ENSCAFT00000088069
PDK1	ENST00000282077	ENSCAFT00000020752
PTH	ENST00000282091	ENSCAFT00000088498
PDE3B	ENST00000282096	ENSCAFT00000075019
TCF7L1	ENST00000282111	ENSCAFT00000012532
KCNK13	ENST00000282146	ENSCAFT00000046110
ATG10	ENST00000282185	ENSCAFT00000038718
FAM151B	ENST00000282226	ENSCAFT00000014018
CWF19L2	ENST00000282251	ENSCAFT00000077947
ANKRD44	ENST00000282272	ENSCAFT00000088223
MARS2	ENST00000282276	ENSCAFT00000037631
ZNF304	ENST00000282286	ENSCAFT00000047533
ZNF773	ENST00000282292	ENSCAFT00000048333
ZNF551	ENST00000282296	ENSCAFT00000044808
ZSCAN1	ENST00000282326	ENSCAFT00000043584
USP12	ENST00000282344	ENSCAFT00000090862
CAMK4	ENST00000282356	ENSCAFT00000011821
TRIM36	ENST00000282369	ENSCAFT00000061394
ZFP36L2	ENST00000282388	ENSCAFT00000048010
FLT1	ENST00000282397	ENSCAFT00000010807
PLEKHH2	ENST00000282406	ENSCAFT00000003931
PPM1B	ENST00000282412	ENSCAFT00000004003
YAP1	ENST00000282441	ENSCAFT00000043495
IGSF10	ENST00000282466	ENSCAFT00000013542
SPARCL1	ENST00000282470	ENSCAFT00000015150
MBNL1	ENST00000282486	ENSCAFT00000071386
GRIA4	ENST00000282499	ENSCAFT00000023560
NIPBL	ENST00000282516	ENSCAFT00000044310
GADL1	ENST00000282538	ENSCAFT00000076382
GPD1L	ENST00000282541	ENSCAFT00000073661
OTX1	ENST00000282549	ENSCAFT00000048634
GJA1	ENST00000282561	ENSCAFT00000001481
CCNO	ENST00000282572	ENSCAFT00000010874
SLC30A6	ENST00000282587	ENSCAFT00000077214
ITGA1	ENST00000282588	ENSCAFT00000092638
CATSPER3	ENST00000282611	ENSCAFT00000001629
BMP3	ENST00000282701	ENSCAFT00000014102
HHEX	ENST00000282728	ENSCAFT00000012018
GRM1	ENST00000282753	ENSCAFT00000000528
GGPS1	ENST00000282841	ENSCAFT00000017968
ADAMTS18	ENST00000282849	ENSCAFT00000031887
RAB3C	ENST00000282878	ENSCAFT00000064612
LMNTD1	ENST00000282881	ENSCAFT00000018133
RASSF8	ENST00000282884	ENSCAFT00000018104
MED21	ENST00000282892	ENSCAFT00000076496
STK32B	ENST00000282908	ENSCAFT00000024908
JAKMIP1	ENST00000282924	ENSCAFT00000067692
CENPH	ENST00000283006	ENSCAFT00000012353
TEKT5	ENST00000283025	ENSCAFT00000083546
NUBP1	ENST00000283027	ENSCAFT00000088982
RIOK2	ENST00000283109	ENSCAFT00000012382
CETN3	ENST00000283122	ENSCAFT00000062025
SMARCA5	ENST00000283131	ENSCAFT00000012062
SYCP2L	ENST00000283141	ENSCAFT00000015487
BMP6	ENST00000283147	ENSCAFT00000047626
HNRNPU	ENST00000283179	ENSCAFT00000025085
RANBP2	ENST00000283195	ENSCAFT00000093512
TMEM87B	ENST00000283206	ENSCAFT00000036194
PTPRR	ENST00000283228	ENSCAFT00000000721
CCDC148	ENST00000283233	ENSCAFT00000064831
PLA2R1	ENST00000283243	ENSCAFT00000015277
ITGB6	ENST00000283249	ENSCAFT00000015738
SCN2A	ENST00000283256	ENSCAFT00000068896
FEZF2	ENST00000283268	ENSCAFT00000011406
CD96	ENST00000283285	ENSCAFT00000016476
ATG3	ENST00000283290	ENSCAFT00000016691
ADGRF4	ENST00000283303	ENSCAFT00000003313
TRAPPC8	ENST00000283351	ENSCAFT00000045046
FAM81B	ENST00000283357	ENSCAFT00000012696
LPCAT1	ENST00000283415	ENSCAFT00000048550
PLEKHG4B	ENST00000283426	ENSCAFT00000017584
NMRAL1	ENST00000283429	ENSCAFT00000030493
UBALD1	ENST00000283474	ENSCAFT00000030482
TEX29	ENST00000283547	ENSCAFT00000036484
SPACA7	ENST00000283550	ENSCAFT00000048601
UBP1	ENST00000283628	ENSCAFT00000071725
RMND5A	ENST00000283632	ENSCAFT00000035958
CD8A	ENST00000283635	ENSCAFT00000059834
ATP8B1	ENST00000283684	ENSCAFT00000000203
VILL	ENST00000283713	ENSCAFT00000007877
HGD	ENST00000283871	ENSCAFT00000075383
GTF2E1	ENST00000283875	ENSCAFT00000017975
CFDP1	ENST00000283882	ENSCAFT00000031953
TMPRSS11D	ENST00000283916	ENSCAFT00000004466
HOXA10	ENST00000283921	ENSCAFT00000004748
JAZF1	ENST00000283928	ENSCAFT00000088972
KCNJ16	ENST00000283936	ENSCAFT00000017085
TRIP12	ENST00000283943	ENSCAFT00000061565
FBXO36	ENST00000283946	ENSCAFT00000075018
CEBPG	ENST00000284000	ENSCAFT00000011864
DDAH1	ENST00000284031	ENSCAFT00000044440
ERBIN	ENST00000284037	ENSCAFT00000081329
CHD1	ENST00000284049	ENSCAFT00000012332
DGKE	ENST00000284061	ENSCAFT00000027545
HS3ST3A1	ENST00000284110	ENSCAFT00000028391
GDPD1	ENST00000284116	ENSCAFT00000027898
SEMA3D	ENST00000284136	ENSCAFT00000009942
ASB17	ENST00000284142	ENSCAFT00000032469
IMPACT	ENST00000284202	ENSCAFT00000093809
THY1	ENST00000284240	ENSCAFT00000045542
JPH3	ENST00000284262	ENSCAFT00000031672
ANKH	ENST00000284268	ENSCAFT00000075016
UBASH3B	ENST00000284273	ENSCAFT00000018619
OTULIN	ENST00000284274	ENSCAFT00000092364
OR8A1	ENST00000284287	ENSCAFT00000017852
PANX3	ENST00000284288	ENSCAFT00000017849
NRGN	ENST00000284292	ENSCAFT00000017753
GPR15	ENST00000284311	ENSCAFT00000014595
TOMM70	ENST00000284320	ENSCAFT00000014803
ABI3BP	ENST00000284322	ENSCAFT00000087718
CERS3	ENST00000284382	ENSCAFT00000071465
UCHL1	ENST00000284440	ENSCAFT00000089089
DISP1	ENST00000284476	ENSCAFT00000049302
FAM167A	ENST00000284486	ENSCAFT00000012731
NEIL2	ENST00000284503	ENSCAFT00000012710
ATP8B4	ENST00000284509	ENSCAFT00000023794
WNT3A	ENST00000284523	ENSCAFT00000001825
PPP1R3A	ENST00000284601	ENSCAFT00000069884
CCSAP	ENST00000284617	ENSCAFT00000048744
ASZ1	ENST00000284629	ENSCAFT00000047999
SH3RF1	ENST00000284637	ENSCAFT00000012180
KLHL41	ENST00000284669	ENSCAFT00000019537
GPR26	ENST00000284674	ENSCAFT00000020150
DHX32	ENST00000284690	ENSCAFT00000020520
OLA1	ENST00000284719	ENSCAFT00000044502
PDLIM3	ENST00000284770	ENSCAFT00000093026
SORBS2	ENST00000284776	ENSCAFT00000077565
ELOC	ENST00000284811	ENSCAFT00000012970
LY96	ENST00000284818	ENSCAFT00000049046
CXADR	ENST00000284878	ENSCAFT00000092090
TMPRSS15	ENST00000284885	ENSCAFT00000013270
L3MBTL4	ENST00000284898	ENSCAFT00000029509
SEL1L2	ENST00000284951	ENSCAFT00000061693
ATP5PF	ENST00000284971	ENSCAFT00000038539
ADAMTS1	ENST00000284984	ENSCAFT00000013624
ADAMTS5	ENST00000284987	ENSCAFT00000013627
WNT7A	ENST00000285018	ENSCAFT00000046986
XPC	ENST00000285021	ENSCAFT00000007204
MYO5B	ENST00000285039	ENSCAFT00000090271
FGD5	ENST00000285046	ENSCAFT00000069641
FLCN	ENST00000285071	ENSCAFT00000029334
OXNAD1	ENST00000285083	ENSCAFT00000073032
CXXC1	ENST00000285106	ENSCAFT00000030001
SKA1	ENST00000285116	ENSCAFT00000021087
USP43	ENST00000285199	ENSCAFT00000048667
RAB6B	ENST00000285208	ENSCAFT00000043663
ABCC3	ENST00000285238	ENSCAFT00000027259
ANKRD40	ENST00000285243	ENSCAFT00000038293
CA10	ENST00000285273	ENSCAFT00000044667
VOPP1	ENST00000285279	ENSCAFT00000075203
DKK2	ENST00000285311	ENSCAFT00000017641
CA2	ENST00000285379	ENSCAFT00000082253
ATP6V0D2	ENST00000285393	ENSCAFT00000013922
ERCC3	ENST00000285398	ENSCAFT00000007273
ODF1	ENST00000285402	ENSCAFT00000049775
KLF10	ENST00000285407	ENSCAFT00000000985
PIP4P2	ENST00000285419	ENSCAFT00000014348
AGPAT5	ENST00000285518	ENSCAFT00000069242
HSPA13	ENST00000285667	ENSCAFT00000046030
USP25	ENST00000285679	ENSCAFT00000049155
GRAMD2B	ENST00000285689	ENSCAFT00000062525
LONP2	ENST00000285737	ENSCAFT00000015963
NIFK	ENST00000285814	ENSCAFT00000044914
SLC7A7	ENST00000285850	ENSCAFT00000037785
CCDC146	ENST00000285871	ENSCAFT00000065660
GEMIN5	ENST00000285873	ENSCAFT00000044955
CNOT8	ENST00000285896	ENSCAFT00000027939
GRIA1	ENST00000285900	ENSCAFT00000028234
LRGUK	ENST00000285928	ENSCAFT00000002022
AKR1B1	ENST00000285930	ENSCAFT00000002002
SETD9	ENST00000285947	ENSCAFT00000035169
NUP205	ENST00000285968	ENSCAFT00000005205
CYP2C18	ENST00000285979	ENSCAFT00000012898
PDE11A	ENST00000286063	ENSCAFT00000048437
PDIA4	ENST00000286091	ENSCAFT00000093599
KDM8	ENST00000286096	ENSCAFT00000027679
BANP	ENST00000286122	ENSCAFT00000046913
OTOA	ENST00000286149	ENSCAFT00000028084
FLACC1	ENST00000286190	ENSCAFT00000019360
C2CD6	ENST00000286195	ENSCAFT00000045732
FZD7	ENST00000286201	ENSCAFT00000019693
DEPTOR	ENST00000286234	ENSCAFT00000001377
SLC26A2	ENST00000286298	ENSCAFT00000028978
CSF1R	ENST00000286301	ENSCAFT00000073879
MED7	ENST00000286317	ENSCAFT00000027867
TRIM42	ENST00000286349	ENSCAFT00000038759
PXYLP1	ENST00000286353	ENSCAFT00000091100
ADCY8	ENST00000286355	ENSCAFT00000001672
RASA2	ENST00000286364	ENSCAFT00000012307
ATP1B3	ENST00000286371	ENSCAFT00000012366
SMC2	ENST00000286398	ENSCAFT00000004208
VBP1	ENST00000286428	ENSCAFT00000031215
VAMP7	ENST00000286448	ENSCAFT00000071899
ARHGEF25	ENST00000286494	ENSCAFT00000000393
GNAQ	ENST00000286548	ENSCAFT00000030609
WIF1	ENST00000286574	ENSCAFT00000087301
MMP16	ENST00000286614	ENSCAFT00000014192
ADK	ENST00000286621	ENSCAFT00000066821
KCNMA1	ENST00000286628	ENSCAFT00000024539
DCK	ENST00000286648	ENSCAFT00000072607
DRAM2	ENST00000286692	ENSCAFT00000045184
STOM	ENST00000286713	ENSCAFT00000067332
CFAP161	ENST00000286732	ENSCAFT00000021972
ADAMTSL3	ENST00000286744	ENSCAFT00000063932
CXCL13	ENST00000286758	ENSCAFT00000038842
WHAMM	ENST00000286760	ENSCAFT00000020878
CCT8	ENST00000286788	ENSCAFT00000046887
MAP3K7CL	ENST00000286791	ENSCAFT00000048842
NAA11	ENST00000286794	ENSCAFT00000014068
BACH1	ENST00000286800	ENSCAFT00000074611
CLDN17	ENST00000286808	ENSCAFT00000013981
TIAM1	ENST00000286827	ENSCAFT00000083421
SCAF4	ENST00000286835	ENSCAFT00000073147
ANKRD9	ENST00000286918	ENSCAFT00000028691
GDF6	ENST00000287020	ENSCAFT00000015016
UQCRB	ENST00000287022	ENSCAFT00000015024
MTERF3	ENST00000287025	ENSCAFT00000015040
KCNS2	ENST00000287042	ENSCAFT00000000774
CD109	ENST00000287097	ENSCAFT00000071448
NODAL	ENST00000287139	ENSCAFT00000046976
PRG3	ENST00000287143	ENSCAFT00000012610
KIF6	ENST00000287152	ENSCAFT00000002437
UBE2L6	ENST00000287156	ENSCAFT00000090152
ZDHHC5	ENST00000287169	ENSCAFT00000012470
ZFAND3	ENST00000287218	ENSCAFT00000076823
KAT6B	ENST00000287239	ENSCAFT00000024383
AIFM1	ENST00000287295	ENSCAFT00000065665
BAG4	ENST00000287322	ENSCAFT00000009890
TBC1D31	ENST00000287380	ENSCAFT00000001523
ATAD2	ENST00000287394	ENSCAFT00000001534
NSMCE2	ENST00000287437	ENSCAFT00000088489
ZNF689	ENST00000287461	ENSCAFT00000061707
FBRS	ENST00000287468	ENSCAFT00000026354
SASS6	ENST00000287482	ENSCAFT00000031863
COX6A2	ENST00000287490	ENSCAFT00000026740
ITGAM	ENST00000287497	ENSCAFT00000035277
ZIC3	ENST00000287538	ENSCAFT00000030141
LHFPL4	ENST00000287585	ENSCAFT00000042909
BUB1B	ENST00000287598	ENSCAFT00000014186
PDE6D	ENST00000287600	ENSCAFT00000017665
SST	ENST00000287641	ENSCAFT00000067680
EXOG	ENST00000287675	ENSCAFT00000008105
HMBOX1	ENST00000287701	ENSCAFT00000013078
NTAN1	ENST00000287706	ENSCAFT00000029806
NMNAT2	ENST00000287713	ENSCAFT00000070122
ZFYVE9	ENST00000287727	ENSCAFT00000060276
LYZL4	ENST00000287748	ENSCAFT00000039201
SLC6A1	ENST00000287766	ENSCAFT00000008101
KLHL40	ENST00000287777	ENSCAFT00000008605
TIMP4	ENST00000287814	ENSCAFT00000008038
PPARG	ENST00000287820	ENSCAFT00000008018
ODR4	ENST00000287859	ENSCAFT00000021809
PRKAG2	ENST00000287878	ENSCAFT00000007917
HTR5A	ENST00000287907	ENSCAFT00000008169
STEAP2	ENST00000287908	ENSCAFT00000002959
TSSK4	ENST00000287913	ENSCAFT00000019168
CLDN12	ENST00000287916	ENSCAFT00000002982
FZD1	ENST00000287934	ENSCAFT00000003022
HMGCR	ENST00000287936	ENSCAFT00000086595
GATAD1	ENST00000287957	ENSCAFT00000042824
IPPK	ENST00000287996	ENSCAFT00000003601
THTPA	ENST00000288014	ENSCAFT00000018490
PDPR	ENST00000288050	ENSCAFT00000032024
FCSK	ENST00000288078	ENSCAFT00000032074
MDP1	ENST00000288087	ENSCAFT00000037401
IL34	ENST00000288098	ENSCAFT00000093392
DHRS1	ENST00000288111	ENSCAFT00000043307
KIT	ENST00000288135	ENSCAFT00000003274
IL17RB	ENST00000288167	ENSCAFT00000045796
ZNF19	ENST00000288177	ENSCAFT00000046896
CACNA2D3	ENST00000288197	ENSCAFT00000013062
CCNB2	ENST00000288207	ENSCAFT00000026290
ERC2	ENST00000288221	ENSCAFT00000074049
FAM81A	ENST00000288228	ENSCAFT00000026382
MYO1E	ENST00000288235	ENSCAFT00000026368
APPL1	ENST00000288266	ENSCAFT00000012718
PREX2	ENST00000288368	ENSCAFT00000012231
SPATS1	ENST00000288390	ENSCAFT00000003152
DGKI	ENST00000288490	ENSCAFT00000090929
TMEM268	ENST00000288502	ENSCAFT00000005376
COQ5	ENST00000288532	ENSCAFT00000016453
BRAF	ENST00000288602	ENSCAFT00000006305
DPYSL5	ENST00000288699	ENSCAFT00000007378
C12orf43	ENST00000288757	ENSCAFT00000047334
WIPI2	ENST00000288828	ENSCAFT00000049917
SMAD6	ENST00000288840	ENSCAFT00000027461
CIB4	ENST00000288861	ENSCAFT00000007193
KRTCAP3	ENST00000288873	ENSCAFT00000007848
MRPL17	ENST00000288937	ENSCAFT00000010629
DUSP2	ENST00000288943	ENSCAFT00000083435
NCK1	ENST00000288986	ENSCAFT00000011939
HPD	ENST00000289004	ENSCAFT00000069181
FANCC	ENST00000289081	ENSCAFT00000063240
MRAS	ENST00000289104	ENSCAFT00000012066
ABHD3	ENST00000289119	ENSCAFT00000028985
PIK3CB	ENST00000289153	ENSCAFT00000012130
TENT5B	ENST00000289166	ENSCAFT00000043794
ACTR1B	ENST00000289228	ENSCAFT00000083276
RHBDL2	ENST00000289248	ENSCAFT00000005131
PCDHA13	ENST00000289272	ENSCAFT00000061880
SHROOM4	ENST00000289292	ENSCAFT00000045988
MITD1	ENST00000289359	ENSCAFT00000003600
EIF5B	ENST00000289371	ENSCAFT00000003577
CNOT11	ENST00000289382	ENSCAFT00000003454
CATIP	ENST00000289388	ENSCAFT00000081767
ACSM3	ENST00000289416	ENSCAFT00000028541
SPATA2	ENST00000289431	ENSCAFT00000018221
OR10K1	ENST00000289451	ENSCAFT00000037015
LRTOMT	ENST00000289488	ENSCAFT00000009327
ZFAND2B	ENST00000289528	ENSCAFT00000023963
SLCO2B1	ENST00000289575	ENSCAFT00000008778
SLAMF8	ENST00000289707	ENSCAFT00000018715
CDH15	ENST00000289746	ENSCAFT00000031571
HTR6	ENST00000289753	ENSCAFT00000035364
ZSCAN23	ENST00000289788	ENSCAFT00000093099
SPATA2L	ENST00000289805	ENSCAFT00000031526
USP21	ENST00000289865	ENSCAFT00000020298
SLC45A1	ENST00000289877	ENSCAFT00000031294
FCER1G	ENST00000289902	ENSCAFT00000020445
FAM160B2	ENST00000289921	ENSCAFT00000015419
SLC39A14	ENST00000289952	ENSCAFT00000014993
WFDC8	ENST00000289953	ENSCAFT00000015406
CHRNB3	ENST00000289957	ENSCAFT00000008790
ARHGAP17	ENST00000289968	ENSCAFT00000027716
WNT9B	ENST00000290015	ENSCAFT00000043450
TMEM141	ENST00000290079	ENSCAFT00000075617
MIS18A	ENST00000290130	ENSCAFT00000014097
KPNB1	ENST00000290158	ENSCAFT00000087028
WNT4	ENST00000290167	ENSCAFT00000084923
IL10RB	ENST00000290200	ENSCAFT00000014427
SCRN2	ENST00000290216	ENSCAFT00000026613
NCOA5	ENST00000290231	ENSCAFT00000092686
ELMO2	ENST00000290246	ENSCAFT00000067072
STC1	ENST00000290271	ENSCAFT00000014480
HOXB13	ENST00000290295	ENSCAFT00000026707
KCNE2	ENST00000290310	ENSCAFT00000015161
IGF2BP1	ENST00000290341	ENSCAFT00000026763
CBR3	ENST00000290354	ENSCAFT00000015307
CIART	ENST00000290363	ENSCAFT00000018735
GJD2	ENST00000290374	ENSCAFT00000013090
ACTC1	ENST00000290378	ENSCAFT00000065599
SIM2	ENST00000290399	ENSCAFT00000078208
MCAT	ENST00000290429	ENSCAFT00000001424
PLA2G4D	ENST00000290472	ENSCAFT00000015847
RFX5	ENST00000290524	ENSCAFT00000020094
M1AP	ENST00000290536	ENSCAFT00000043253
PSMB4	ENST00000290541	ENSCAFT00000020153
BTG2	ENST00000290551	ENSCAFT00000015026
IRX6	ENST00000290552	ENSCAFT00000065192
CES5A	ENST00000290567	ENSCAFT00000063029
HK2	ENST00000290573	ENSCAFT00000013192
CELF3	ENST00000290583	ENSCAFT00000020318
ALDH4A1	ENST00000290597	ENSCAFT00000045210
STARD9	ENST00000290607	ENSCAFT00000037445
AMFR	ENST00000290649	ENSCAFT00000014581
UBR1	ENST00000290650	ENSCAFT00000063148
CPNE2	ENST00000290776	ENSCAFT00000014118
GPBP1L1	ENST00000290795	ENSCAFT00000007228
NAE1	ENST00000290810	ENSCAFT00000032493
TRMU	ENST00000290846	ENSCAFT00000070895
CLEC2D	ENST00000290855	ENSCAFT00000072692
CBFB	ENST00000290858	ENSCAFT00000032470
ACE	ENST00000290866	ENSCAFT00000020636
UROC1	ENST00000290868	ENSCAFT00000006209
SHF	ENST00000290894	ENSCAFT00000021767
CTBP1	ENST00000290921	ENSCAFT00000026428
TPPP3	ENST00000290942	ENSCAFT00000032430
ATP6V0D1	ENST00000290949	ENSCAFT00000032422
AGRP	ENST00000290953	ENSCAFT00000032421
ZFYVE28	ENST00000290974	ENSCAFT00000088558
PIP	ENST00000291009	ENSCAFT00000005869
PSKH1	ENST00000291041	ENSCAFT00000032388
ZNF235	ENST00000291182	ENSCAFT00000091431
TNFRSF13C	ENST00000291232	ENSCAFT00000001546
DMPK	ENST00000291270	ENSCAFT00000089661
PRKD2	ENST00000291281	ENSCAFT00000089891
PTGIR	ENST00000291294	ENSCAFT00000006868
IQCC	ENST00000291358	ENSCAFT00000072391
SSU72	ENST00000291386	ENSCAFT00000030566
TRIM62	ENST00000291416	ENSCAFT00000050202
AP1M1	ENST00000291439	ENSCAFT00000024981
NR2F6	ENST00000291442	ENSCAFT00000061654
HAPLN4	ENST00000291481	ENSCAFT00000036300
CILP2	ENST00000291495	ENSCAFT00000049360
TFF2	ENST00000291526	ENSCAFT00000064635
TFF1	ENST00000291527	ENSCAFT00000090160
TMPRSS3	ENST00000291532	ENSCAFT00000016489
RSPH1	ENST00000291536	ENSCAFT00000070170
PDE9A	ENST00000291539	ENSCAFT00000059732
PKNOX1	ENST00000291547	ENSCAFT00000016720
CRYAA	ENST00000291554	ENSCAFT00000016823
HSF2BP	ENST00000291560	ENSCAFT00000016873
PDXK	ENST00000291565	ENSCAFT00000084026
CSTB	ENST00000291568	ENSCAFT00000069226
AGPAT3	ENST00000291572	ENSCAFT00000016943
AIRE	ENST00000291582	ENSCAFT00000017065
LRRC3	ENST00000291592	ENSCAFT00000047607
ZNF583	ENST00000291598	ENSCAFT00000049122
FAM207A	ENST00000291634	ENSCAFT00000017582
FTCD	ENST00000291670	ENSCAFT00000018946
SPATC1L	ENST00000291672	ENSCAFT00000018952
MCM3AP	ENST00000291688	ENSCAFT00000048123
S100B	ENST00000291700	ENSCAFT00000019430
HIPK4	ENST00000291823	ENSCAFT00000008617
ST6GALNAC6	ENST00000291839	ENSCAFT00000073449
SHKBP1	ENST00000291842	ENSCAFT00000008290
ZER1	ENST00000291900	ENSCAFT00000031886
PKN3	ENST00000291906	ENSCAFT00000031900
TMEM190	ENST00000291934	ENSCAFT00000004067
NLRP8	ENST00000291971	ENSCAFT00000003948
MED27	ENST00000292035	ENSCAFT00000060906
ZNF667	ENST00000292069	ENSCAFT00000081484
FXYD2	ENST00000292079	ENSCAFT00000064074
TLCD1	ENST00000292090	ENSCAFT00000043143
TMEM199	ENST00000292114	ENSCAFT00000029632
SAFB	ENST00000292123	ENSCAFT00000029855
PHLDB3	ENST00000292140	ENSCAFT00000059545
ETHE1	ENST00000292147	ENSCAFT00000007656
S100A1	ENST00000292169	ENSCAFT00000074948
CXCR5	ENST00000292174	ENSCAFT00000019740
ZBTB7B	ENST00000292176	ENSCAFT00000027122
FLAD1	ENST00000292180	ENSCAFT00000027128
