WNK2	ENST00000297954	ENSCAFT00000042749
CIART	ENST00000290363	ENSCAFT00000018735
GSPT1	ENST00000420576	ENSCAFT00000036100
IL20RA	ENST00000316649	ENSCAFT00000000403
KCNQ1	ENST00000155840	ENSCAFT00000072794
FSD2	ENST00000334574	ENSCAFT00000020863
RAB11FIP1	ENST00000330843	ENSCAFT00000044766
LDB1	ENST00000425280	ENSCAFT00000015927
HCFC1R1	ENST00000248089	ENSCAFT00000030707
SLC30A2	ENST00000374278	ENSCAFT00000048920
SLC26A2	ENST00000286298	ENSCAFT00000028978
SEMA4F	ENST00000357877	ENSCAFT00000088521
TMIGD1	ENST00000328886	ENSCAFT00000030193
KRT26	ENST00000335552	ENSCAFT00000025404
PTGIR	ENST00000291294	ENSCAFT00000006868
ST8SIA3	ENST00000324000	ENSCAFT00000000212
ITPKA	ENST00000260386	ENSCAFT00000015185
RETREG3	ENST00000309428	ENSCAFT00000049798
BTG4	ENST00000356018	ENSCAFT00000022555
SLC34A2	ENST00000382051	ENSCAFT00000026026
MAT2A	ENST00000306434	ENSCAFT00000012419
VPREB1	ENST00000403807	ENSCAFT00000022448
EHBP1L1	ENST00000309295	ENSCAFT00000021355
NCBP2	ENST00000321256	ENSCAFT00000020797
CHSY1	ENST00000254190	ENSCAFT00000016812
ITGB4	ENST00000200181	ENSCAFT00000046475
ADGRB1	ENST00000323289	ENSCAFT00000001959
LIPG	ENST00000261292	ENSCAFT00000090552
RNF8	ENST00000373479	ENSCAFT00000085175
KCNJ13	ENST00000233826	ENSCAFT00000018359
YBEY	ENST00000329319	ENSCAFT00000070414
ABRAXAS2	ENST00000298492	ENSCAFT00000020236
HM13	ENST00000340852	ENSCAFT00000074768
OR7G2	ENST00000305456	ENSCAFT00000067651
RPL15	ENST00000307839	ENSCAFT00000009299
SYT14	ENST00000472886	ENSCAFT00000049473
NT5C2	ENST00000343289	ENSCAFT00000016468
TRPM8	ENST00000324695	ENSCAFT00000018989
GPSM1	ENST00000440944	ENSCAFT00000068448
GPT	ENST00000394955	ENSCAFT00000049450
OXNAD1	ENST00000285083	ENSCAFT00000073032
RASGRP4	ENST00000587738	ENSCAFT00000009542
CCL27	ENST00000259631	ENSCAFT00000003093
ZNF322	ENST00000415922	ENSCAFT00000046607
PITPNB	ENST00000335272	ENSCAFT00000049612
BRD4	ENST00000263377	ENSCAFT00000025500
RGS14	ENST00000408923	ENSCAFT00000069054
SLC25A41	ENST00000321510	ENSCAFT00000081045
SPR	ENST00000234454	ENSCAFT00000014229
TPRG1L	ENST00000378344	ENSCAFT00000030975
UST	ENST00000367463	ENSCAFT00000000577
RTN1	ENST00000267484	ENSCAFT00000078504
CHAT	ENST00000337653	ENSCAFT00000044328
VMO1	ENST00000328739	ENSCAFT00000025138
IGFLR1	ENST00000246532	ENSCAFT00000011036
FRMPD4	ENST00000380682	ENSCAFT00000085831
PSMB1	ENST00000262193	ENSCAFT00000028947
TFIP11	ENST00000405938	ENSCAFT00000018663
FBXO36	ENST00000283946	ENSCAFT00000075018
MCM9	ENST00000316316	ENSCAFT00000001448
PLK5	ENST00000334770	ENSCAFT00000047422
ARFGEF1	ENST00000262215	ENSCAFT00000083588
CHCHD4	ENST00000396914	ENSCAFT00000007146
FICD	ENST00000552695	ENSCAFT00000018081
PRPF4B	ENST00000337659	ENSCAFT00000067785
MRPS18C	ENST00000295491	ENSCAFT00000092650
FOXB2	ENST00000376708	ENSCAFT00000002574
FKBP1B	ENST00000380986	ENSCAFT00000006352
RIT1	ENST00000368323	ENSCAFT00000079557
SHISA6	ENST00000409168	ENSCAFT00000027894
THBS2	ENST00000366787	ENSCAFT00000083398
SNTA1	ENST00000217381	ENSCAFT00000011871
FCHSD2	ENST00000409418	ENSCAFT00000074548
MCM3	ENST00000229854	ENSCAFT00000003463
WDR48	ENST00000302313	ENSCAFT00000008168
TMEM61	ENST00000371268	ENSCAFT00000030158
PFAS	ENST00000314666	ENSCAFT00000077383
C9orf50	ENST00000372478	ENSCAFT00000047169
CDC23	ENST00000394886	ENSCAFT00000001873
MYF5	ENST00000228644	ENSCAFT00000009368
TMEM138	ENST00000278826	ENSCAFT00000025666
FH	ENST00000366560	ENSCAFT00000024892
FCRL5	ENST00000361835	ENSCAFT00000026086
UNK	ENST00000589666	ENSCAFT00000007926
GNAI2	ENST00000313601	ENSCAFT00000037927
FRS3	ENST00000259748	ENSCAFT00000048218
SMARCA5	ENST00000283131	ENSCAFT00000012062
HSDL1	ENST00000219439	ENSCAFT00000031773
BATF3	ENST00000243440	ENSCAFT00000047653
TNNI2	ENST00000252898	ENSCAFT00000016008
TCP1	ENST00000321394	ENSCAFT00000001141
GPR108	ENST00000264080	ENSCAFT00000088757
RPL31	ENST00000264258	ENSCAFT00000018083
TGFBR1	ENST00000374994	ENSCAFT00000044556
SHANK2	ENST00000423696	ENSCAFT00000016614
DRGX	ENST00000374139	ENSCAFT00000010667
TPRA1	ENST00000355552	ENSCAFT00000081308
ADAMTS5	ENST00000284987	ENSCAFT00000013627
B4GALT4	ENST00000359213	ENSCAFT00000017341
LMAN2	ENST00000303127	ENSCAFT00000026045
PPP2R3A	ENST00000264977	ENSCAFT00000011324
CDC25A	ENST00000302506	ENSCAFT00000020522
PAQR5	ENST00000340965	ENSCAFT00000027762
PRKX	ENST00000262848	ENSCAFT00000017781
HSD11B1	ENST00000367027	ENSCAFT00000047028
DQX1	ENST00000393951	ENSCAFT00000013395
DIAPH2	ENST00000324765	ENSCAFT00000090879
NDFIP1	ENST00000253814	ENSCAFT00000077309
TBXA2R	ENST00000375190	ENSCAFT00000030440
KRT84	ENST00000257951	ENSCAFT00000011656
MFAP4	ENST00000299610	ENSCAFT00000072204
APBA3	ENST00000316757	ENSCAFT00000045025
KLHL29	ENST00000486442	ENSCAFT00000006294
TRMT9B	ENST00000524591	ENSCAFT00000010886
ZNF449	ENST00000339249	ENSCAFT00000030006
FGFR3	ENST00000260795	ENSCAFT00000059563
CEPT1	ENST00000357172	ENSCAFT00000060653
ABO	ENST00000611156	ENSCAFT00000037786
GTF2H3	ENST00000543341	ENSCAFT00000078903
CTDSP2	ENST00000398073	ENSCAFT00000075303
STOML3	ENST00000379631	ENSCAFT00000090460
ATG2B	ENST00000359933	ENSCAFT00000028127
IPO7	ENST00000379719	ENSCAFT00000011732
STIM2	ENST00000467087	ENSCAFT00000062396
ST18	ENST00000276480	ENSCAFT00000010894
SARS1	ENST00000234677	ENSCAFT00000075886
PRELID2	ENST00000334744	ENSCAFT00000079299
DEFB126	ENST00000382398	ENSCAFT00000071720
SETD6	ENST00000219315	ENSCAFT00000013427
NFKB1	ENST00000394820	ENSCAFT00000081993
SEC11C	ENST00000587834	ENSCAFT00000088860
LRRC9	ENST00000445360	ENSCAFT00000043370
KHK	ENST00000260598	ENSCAFT00000007514
KLHDC8A	ENST00000367155	ENSCAFT00000015976
RAB6B	ENST00000285208	ENSCAFT00000043663
CD300E	ENST00000392619	ENSCAFT00000007364
DRP2	ENST00000395209	ENSCAFT00000061781
COMMD2	ENST00000473414	ENSCAFT00000083559
NECTIN2	ENST00000252483	ENSCAFT00000007452
PDCD4	ENST00000280154	ENSCAFT00000043851
TBX15	ENST00000369429	ENSCAFT00000015871
PHF14	ENST00000403050	ENSCAFT00000087236
ANGPTL6	ENST00000253109	ENSCAFT00000028437
CD83	ENST00000379153	ENSCAFT00000092934
CAMTA2	ENST00000348066	ENSCAFT00000024849
JAK3	ENST00000458235	ENSCAFT00000043662
MRPL18	ENST00000367034	ENSCAFT00000046348
NUDC	ENST00000321265	ENSCAFT00000019458
LAMB2	ENST00000305544	ENSCAFT00000018765
GADD45GIP1	ENST00000316939	ENSCAFT00000027039
ICAM5	ENST00000221980	ENSCAFT00000028356
PICK1	ENST00000356976	ENSCAFT00000002227
TLCD3B	ENST00000380495	ENSCAFT00000070607
UCP3	ENST00000314032	ENSCAFT00000008958
STK25	ENST00000316586	ENSCAFT00000009084
GPCPD1	ENST00000379019	ENSCAFT00000009682
GYS1	ENST00000323798	ENSCAFT00000006203
STK31	ENST00000355870	ENSCAFT00000004469
LTO1	ENST00000279147	ENSCAFT00000017021
CDK20	ENST00000325303	ENSCAFT00000049513
NPAS4	ENST00000311034	ENSCAFT00000020162
PRDX1	ENST00000262746	ENSCAFT00000092555
LRRC66	ENST00000343457	ENSCAFT00000038023
OR6S1	ENST00000320704	ENSCAFT00000008724
TPI1	ENST00000229270	ENSCAFT00000023116
TUBA1A	ENST00000295766	ENSCAFT00000013715
SVIP	ENST00000354193	ENSCAFT00000072353
PIP4K2A	ENST00000376573	ENSCAFT00000006737
GRINA	ENST00000313269	ENSCAFT00000002255
BRWD1	ENST00000333229	ENSCAFT00000015967
MORC4	ENST00000355610	ENSCAFT00000028506
RHCG	ENST00000268122	ENSCAFT00000018959
SLC27A3	ENST00000368661	ENSCAFT00000027642
DNAJC8	ENST00000263697	ENSCAFT00000074341
KIF23	ENST00000260363	ENSCAFT00000027794
NTN5	ENST00000270235	ENSCAFT00000006331
PORCN	ENST00000326194	ENSCAFT00000069359
MFSD10	ENST00000329687	ENSCAFT00000092752
MTHFD1L	ENST00000367321	ENSCAFT00000000656
TTLL7	ENST00000260505	ENSCAFT00000032363
RXRA	ENST00000481739	ENSCAFT00000093785
HCLS1	ENST00000314583	ENSCAFT00000018370
CEP120	ENST00000306467	ENSCAFT00000068421
MTMR6	ENST00000381801	ENSCAFT00000065732
RABAC1	ENST00000222008	ENSCAFT00000007989
LSS	ENST00000356396	ENSCAFT00000018996
CCL3	ENST00000613922	ENSCAFT00000061384
FANCL	ENST00000233741	ENSCAFT00000063572
DISP2	ENST00000267889	ENSCAFT00000014457
ANKAR	ENST00000313581	ENSCAFT00000014918
SCG2	ENST00000305409	ENSCAFT00000025686
HOXA5	ENST00000222726	ENSCAFT00000004723
TDO2	ENST00000536354	ENSCAFT00000013629
ALG6	ENST00000371108	ENSCAFT00000029698
PIP5K1B	ENST00000265382	ENSCAFT00000003045
PPP1R10	ENST00000376511	ENSCAFT00000000645
AGBL4	ENST00000371839	ENSCAFT00000049698
SLC4A9	ENST00000507527	ENSCAFT00000009265
TSPAN2	ENST00000369516	ENSCAFT00000070327
SLC22A14	ENST00000273173	ENSCAFT00000008078
LY6G6D	ENST00000375825	ENSCAFT00000000938
EXOSC1	ENST00000370902	ENSCAFT00000014417
LRRC72	ENST00000401542	ENSCAFT00000046710
C2CD2	ENST00000380486	ENSCAFT00000016235
OR9I1	ENST00000302610	ENSCAFT00000012363
TSPAN18	ENST00000340160	ENSCAFT00000014979
CYB561A3	ENST00000294072	ENSCAFT00000025670
CCDC38	ENST00000344280	ENSCAFT00000035916
ETV1	ENST00000405218	ENSCAFT00000081707
FOXP1	ENST00000318789	ENSCAFT00000088237
FAM160A1	ENST00000435205	ENSCAFT00000012870
MED7	ENST00000286317	ENSCAFT00000027867
SFXN2	ENST00000369893	ENSCAFT00000016278
FAM89B	ENST00000530349	ENSCAFT00000021366
ALAS2	ENST00000330807	ENSCAFT00000022734
FLYWCH2	ENST00000293981	ENSCAFT00000046469
SPRN	ENST00000414069	ENSCAFT00000049794
LAMC2	ENST00000264144	ENSCAFT00000021015
MRPS12	ENST00000308018	ENSCAFT00000009045
MICALL1	ENST00000215957	ENSCAFT00000002244
TMEM232	ENST00000455884	ENSCAFT00000011853
RPL21	ENST00000272274	ENSCAFT00000010959
ZRANB3	ENST00000264159	ENSCAFT00000067637
CITED2	ENST00000367651	ENSCAFT00000000443
TMEM150A	ENST00000334462	ENSCAFT00000012288
RIPPLY1	ENST00000276173	ENSCAFT00000046144
MYH14	ENST00000376970	ENSCAFT00000078895
TMEM201	ENST00000340381	ENSCAFT00000046952
ZNF282	ENST00000610704	ENSCAFT00000007149
MAST3	ENST00000262811	ENSCAFT00000070066
WASHC4	ENST00000332180	ENSCAFT00000003000
ABCA3	ENST00000301732	ENSCAFT00000030808
IGSF6	ENST00000268389	ENSCAFT00000028093
PPP4R3A	ENST00000554943	ENSCAFT00000027870
AP3M2	ENST00000174653	ENSCAFT00000068937
GEMIN4	ENST00000319004	ENSCAFT00000037731
SUSD1	ENST00000374270	ENSCAFT00000075085
C9orf153	ENST00000376001	ENSCAFT00000074131
DOCK6	ENST00000294618	ENSCAFT00000042907
MDH1	ENST00000233114	ENSCAFT00000036209
ETV7	ENST00000340181	ENSCAFT00000087957
LRPAP1	ENST00000500728	ENSCAFT00000023207
KRAS	ENST00000256078	ENSCAFT00000093055
PRDX3	ENST00000298510	ENSCAFT00000019227
MAOA	ENST00000338702	ENSCAFT00000022939
COL3A1	ENST00000304636	ENSCAFT00000023503
GSG1L	ENST00000447459	ENSCAFT00000071629
MS4A7	ENST00000300184	ENSCAFT00000016482
PHLPP2	ENST00000568954	ENSCAFT00000032153
SERPINA7	ENST00000327674	ENSCAFT00000066977
TECTB	ENST00000369422	ENSCAFT00000017326
ZNHIT2	ENST00000310597	ENSCAFT00000049659
CCDC175	ENST00000537690	ENSCAFT00000024684
SPP2	ENST00000168148	ENSCAFT00000019039
CARMIL2	ENST00000334583	ENSCAFT00000048944
THEM4	ENST00000368814	ENSCAFT00000020486
ASB5	ENST00000296525	ENSCAFT00000013387
TMEM127	ENST00000258439	ENSCAFT00000010919
RFC5	ENST00000454402	ENSCAFT00000015721
ZFPL1	ENST00000294258	ENSCAFT00000022171
MMADHC	ENST00000303319	ENSCAFT00000071421
ISG20	ENST00000306072	ENSCAFT00000018291
MADD	ENST00000311027	ENSCAFT00000090166
KMT2E	ENST00000257745	ENSCAFT00000068954
HOXB6	ENST00000225648	ENSCAFT00000026682
EHD2	ENST00000263277	ENSCAFT00000006555
LPCAT4	ENST00000314891	ENSCAFT00000077776
TEX26	ENST00000380473	ENSCAFT00000069859
SLC43A1	ENST00000278426	ENSCAFT00000012561
VPS16	ENST00000380445	ENSCAFT00000010595
TYW5	ENST00000354611	ENSCAFT00000017489
PLAU	ENST00000372764	ENSCAFT00000024111
EPS15L1	ENST00000248070	ENSCAFT00000024934
DECR2	ENST00000219481	ENSCAFT00000086326
PI3	ENST00000243924	ENSCAFT00000015319
GPBP1L1	ENST00000290795	ENSCAFT00000007228
AMT	ENST00000273588	ENSCAFT00000035669
AFAP1	ENST00000358461	ENSCAFT00000022970
MYMK	ENST00000339996	ENSCAFT00000031455
TEX36	ENST00000368821	ENSCAFT00000084871
ESPN	ENST00000377828	ENSCAFT00000048085
C8orf89	ENST00000624510	ENSCAFT00000053908
DPEP1	ENST00000261615	ENSCAFT00000031535
LYPLAL1	ENST00000366928	ENSCAFT00000064845
VPS37B	ENST00000267202	ENSCAFT00000085284
RBMX	ENST00000320676	ENSCAFT00000030124
ERICH1	ENST00000262109	ENSCAFT00000025761
ATG16L2	ENST00000321297	ENSCAFT00000047262
JUND	ENST00000252818	ENSCAFT00000035836
ZNF341	ENST00000375200	ENSCAFT00000011958
TRIR	ENST00000242784	ENSCAFT00000048316
PENK	ENST00000314922	ENSCAFT00000011322
PRADC1	ENST00000258083	ENSCAFT00000014170
RGS16	ENST00000367558	ENSCAFT00000043544
MED10	ENST00000255764	ENSCAFT00000016442
USE1	ENST00000263897	ENSCAFT00000024601
TRMT2A	ENST00000252136	ENSCAFT00000022517
WDR7	ENST00000254442	ENSCAFT00000000223
PLPP1	ENST00000307259	ENSCAFT00000085117
USP1	ENST00000339950	ENSCAFT00000029847
GRIA2	ENST00000264426	ENSCAFT00000081043
NEXMIF	ENST00000055682	ENSCAFT00000027246
LRRC23	ENST00000007969	ENSCAFT00000023084
RNF225	ENST00000601382	ENSCAFT00000003708
AKAP3	ENST00000228850	ENSCAFT00000044162
ZMYND11	ENST00000381591	ENSCAFT00000079133
PLAC8	ENST00000311507	ENSCAFT00000084344
TXLNG	ENST00000380122	ENSCAFT00000020052
RHEBL1	ENST00000301068	ENSCAFT00000092892
HTATIP2	ENST00000421577	ENSCAFT00000015592
PROCR	ENST00000216968	ENSCAFT00000075188
MLLT1	ENST00000252674	ENSCAFT00000061698
THOC6	ENST00000326266	ENSCAFT00000078513
SPRYD3	ENST00000301463	ENSCAFT00000079631
ZBED8	ENST00000408953	ENSCAFT00000042930
NRN1L	ENST00000339176	ENSCAFT00000070043
SLC18A2	ENST00000298472	ENSCAFT00000018998
KRT39	ENST00000355612	ENSCAFT00000035688
GDF2	ENST00000581492	ENSCAFT00000025692
MCM7	ENST00000303887	ENSCAFT00000023450
PET117	ENST00000432901	ENSCAFT00000061689
BIN1	ENST00000316724	ENSCAFT00000007320
BRAT1	ENST00000340611	ENSCAFT00000081229
RASSF8	ENST00000282884	ENSCAFT00000018104
MYOCD	ENST00000343344	ENSCAFT00000028351
PDGFRB	ENST00000261799	ENSCAFT00000000773
MPIG6B	ENST00000375806	ENSCAFT00000000945
MED21	ENST00000282892	ENSCAFT00000076496
OVCH2	ENST00000454689	ENSCAFT00000010931
NEURL1B	ENST00000369800	ENSCAFT00000026634
TTC16	ENST00000373289	ENSCAFT00000045580
PMEL	ENST00000548493	ENSCAFT00000064306
TMEM59	ENST00000234831	ENSCAFT00000069609
APLF	ENST00000303795	ENSCAFT00000005232
SCN3B	ENST00000299333	ENSCAFT00000065540
IL31	ENST00000377035	ENSCAFT00000068242
CHERP	ENST00000546361	ENSCAFT00000024839
OPN5	ENST00000371211	ENSCAFT00000003319
PTPN12	ENST00000248594	ENSCAFT00000063391
SNX1	ENST00000559844	ENSCAFT00000081149
UBAC1	ENST00000371756	ENSCAFT00000031346
TTC14	ENST00000296015	ENSCAFT00000018293
SNRK	ENST00000296088	ENSCAFT00000045811
TLE2	ENST00000262953	ENSCAFT00000030660
TMCO5A	ENST00000319669	ENSCAFT00000045738
GLDN	ENST00000335449	ENSCAFT00000024375
SH2B1	ENST00000322610	ENSCAFT00000065797
FAM20C	ENST00000313766	ENSCAFT00000017768
PXN	ENST00000228307	ENSCAFT00000016266
RPLP0	ENST00000228306	ENSCAFT00000016229
GCM2	ENST00000379491	ENSCAFT00000015478
ITGA11	ENST00000315757	ENSCAFT00000076961
PTP4A1	ENST00000370651	ENSCAFT00000063260
SLC2A1	ENST00000426263	ENSCAFT00000003950
MAPK15	ENST00000338033	ENSCAFT00000084089
TMEM190	ENST00000291934	ENSCAFT00000004067
TMPO	ENST00000266732	ENSCAFT00000075561
MCOLN3	ENST00000370589	ENSCAFT00000032324
PROB1	ENST00000434752	ENSCAFT00000037411
SEPTIN6	ENST00000343984	ENSCAFT00000061664
IFI6	ENST00000361157	ENSCAFT00000070191
KIF16B	ENST00000354981	ENSCAFT00000080798
PLAUR	ENST00000340093	ENSCAFT00000007613
ITGA7	ENST00000555728	ENSCAFT00000085105
UQCRB	ENST00000287022	ENSCAFT00000015024
SLC7A6	ENST00000219343	ENSCAFT00000032359
ECI2	ENST00000380118	ENSCAFT00000014971
CSTF2	ENST00000372972	ENSCAFT00000027826
XPO5	ENST00000265351	ENSCAFT00000048857
CD19	ENST00000324662	ENSCAFT00000027413
MBLAC1	ENST00000398075	ENSCAFT00000078172
NPAS1	ENST00000449844	ENSCAFT00000047187
RYR3	ENST00000389232	ENSCAFT00000012974
CDK7	ENST00000256443	ENSCAFT00000012387
KANK1	ENST00000382297	ENSCAFT00000065654
PEBP1	ENST00000261313	ENSCAFT00000061653
ZNF473	ENST00000270617	ENSCAFT00000092984
CAMKK1	ENST00000348335	ENSCAFT00000060163
DHX57	ENST00000457308	ENSCAFT00000081540
SLC9A2	ENST00000233969	ENSCAFT00000003357
MLANA	ENST00000381471	ENSCAFT00000002099
A4GALT	ENST00000249005	ENSCAFT00000001468
LEP	ENST00000308868	ENSCAFT00000002619
ZNF280D	ENST00000267807	ENSCAFT00000025601
PRPF3	ENST00000324862	ENSCAFT00000018778
CTNNBL1	ENST00000361383	ENSCAFT00000013985
CBX6	ENST00000407418	ENSCAFT00000085386
PRKACA	ENST00000308677	ENSCAFT00000062091
TAS1R3	ENST00000339381	ENSCAFT00000030610
ABCD4	ENST00000356924	ENSCAFT00000069806
ASB1	ENST00000264607	ENSCAFT00000080620
CDV3	ENST00000264993	ENSCAFT00000072888
NDUFS7	ENST00000233627	ENSCAFT00000093664
IBTK	ENST00000306270	ENSCAFT00000004596
RPS11	ENST00000270625	ENSCAFT00000022721
DCN	ENST00000052754	ENSCAFT00000009945
KANK4	ENST00000371153	ENSCAFT00000049528
RILP	ENST00000301336	ENSCAFT00000030483
SPTBN5	ENST00000320955	ENSCAFT00000015654
SYT7	ENST00000263846	ENSCAFT00000025580
COL22A1	ENST00000303045	ENSCAFT00000001823
FGGY	ENST00000303721	ENSCAFT00000079416
NPAT	ENST00000278612	ENSCAFT00000072900
KIAA1614	ENST00000367588	ENSCAFT00000048905
COX15	ENST00000016171	ENSCAFT00000015123
UNC80	ENST00000439458	ENSCAFT00000021863
BOLA1	ENST00000369150	ENSCAFT00000088239
CYB5D2	ENST00000301391	ENSCAFT00000024166
RNFT1	ENST00000305783	ENSCAFT00000071007
CIAO2B	ENST00000422424	ENSCAFT00000032476
TEAD2	ENST00000311227	ENSCAFT00000045555
CDX4	ENST00000373514	ENSCAFT00000027221
NLRP3	ENST00000336119	ENSCAFT00000017002
KLF17	ENST00000372299	ENSCAFT00000007761
RUNX1	ENST00000344691	ENSCAFT00000015249
NR2F1	ENST00000327111	ENSCAFT00000083859
SSBP3	ENST00000371320	ENSCAFT00000030254
TPCN1	ENST00000335509	ENSCAFT00000084242
SQLE	ENST00000265896	ENSCAFT00000038326
LRFN4	ENST00000309602	ENSCAFT00000018821
ATP6V1H	ENST00000359530	ENSCAFT00000088320
PLEKHN1	ENST00000379409	ENSCAFT00000030758
CHCHD7	ENST00000355315	ENSCAFT00000011310
CNOT10	ENST00000328834	ENSCAFT00000039548
PCSK5	ENST00000545128	ENSCAFT00000002652
KIF24	ENST00000379166	ENSCAFT00000003025
WDTC1	ENST00000319394	ENSCAFT00000019377
HAND1	ENST00000231121	ENSCAFT00000027975
TXK	ENST00000264316	ENSCAFT00000003069
CLASP1	ENST00000263710	ENSCAFT00000064343
OR2AT4	ENST00000305159	ENSCAFT00000008759
ECPAS	ENST00000338205	ENSCAFT00000004799
KATNAL1	ENST00000380615	ENSCAFT00000073436
NPTXR	ENST00000333039	ENSCAFT00000060123
PGLYRP1	ENST00000008938	ENSCAFT00000042940
ZPBP	ENST00000046087	ENSCAFT00000039269
RAG1	ENST00000299440	ENSCAFT00000010954
GCDH	ENST00000222214	ENSCAFT00000060678
IGSF5	ENST00000380588	ENSCAFT00000016003
LRRC47	ENST00000378251	ENSCAFT00000030989
CLCN7	ENST00000382745	ENSCAFT00000087431
GPI	ENST00000356487	ENSCAFT00000011733
ADAMTSL4	ENST00000271643	ENSCAFT00000082266
UBQLN1	ENST00000376395	ENSCAFT00000002236
NEU2	ENST00000233840	ENSCAFT00000047600
HECW2	ENST00000260983	ENSCAFT00000045680
NPTX1	ENST00000306773	ENSCAFT00000009171
SLC35B4	ENST00000378509	ENSCAFT00000002018
NEPRO	ENST00000314400	ENSCAFT00000016801
TNFRSF13B	ENST00000261652	ENSCAFT00000029403
THAP8	ENST00000292894	ENSCAFT00000010717
CT83	ENST00000371894	ENSCAFT00000049212
RAPGEF2	ENST00000264431	ENSCAFT00000077244
GEMIN8	ENST00000380523	ENSCAFT00000050109
CCL17	ENST00000219244	ENSCAFT00000078736
USP35	ENST00000529308	ENSCAFT00000045549
ZSWIM1	ENST00000372520	ENSCAFT00000015517
MTMR7	ENST00000180173	ENSCAFT00000011103
UGGT1	ENST00000259253	ENSCAFT00000067144
TMC7	ENST00000304381	ENSCAFT00000043816
FBXO34	ENST00000313833	ENSCAFT00000023871
WWC3	ENST00000380861	ENSCAFT00000018267
SRPK1	ENST00000373825	ENSCAFT00000077998
LARS1	ENST00000394434	ENSCAFT00000060324
OBI1	ENST00000282003	ENSCAFT00000044741
PCDH15	ENST00000320301	ENSCAFT00000086357
PYCR1	ENST00000329875	ENSCAFT00000067522
RDH8	ENST00000171214	ENSCAFT00000028505
POGK	ENST00000367875	ENSCAFT00000024738
FAM160A2	ENST00000449352	ENSCAFT00000010323
GPAM	ENST00000348367	ENSCAFT00000075044
GEMIN6	ENST00000281950	ENSCAFT00000046481
GBA	ENST00000327247	ENSCAFT00000026904
TXNL1	ENST00000217515	ENSCAFT00000000227
KMT2C	ENST00000262189	ENSCAFT00000007959
LYRM1	ENST00000219168	ENSCAFT00000047046
NOP56	ENST00000329276	ENSCAFT00000010731
ZFP62	ENST00000502412	ENSCAFT00000077492
FAM168A	ENST00000064778	ENSCAFT00000087360
TFAM	ENST00000487519	ENSCAFT00000038143
NOS3	ENST00000297494	ENSCAFT00000091114
GP2	ENST00000381362	ENSCAFT00000028632
TBX5	ENST00000310346	ENSCAFT00000014621
SERPINA11	ENST00000334708	ENSCAFT00000027997
ZBTB21	ENST00000310826	ENSCAFT00000016242
PARP9	ENST00000360356	ENSCAFT00000072237
IL7	ENST00000263851	ENSCAFT00000013301
LHX8	ENST00000294638	ENSCAFT00000043981
RNF222	ENST00000344001	ENSCAFT00000027031
DPY19L2	ENST00000324472	ENSCAFT00000005112
GPD2	ENST00000310454	ENSCAFT00000014685
FYB1	ENST00000351578	ENSCAFT00000035197
CARF	ENST00000402905	ENSCAFT00000085165
CLUAP1	ENST00000576634	ENSCAFT00000076681
LIMS2	ENST00000355119	ENSCAFT00000075237
CNTN1	ENST00000347616	ENSCAFT00000015703
TIRAP	ENST00000392679	ENSCAFT00000035306
GRK7	ENST00000264952	ENSCAFT00000012335
EEF1B2	ENST00000236957	ENSCAFT00000043208
COL8A1	ENST00000261037	ENSCAFT00000043713
GFM1	ENST00000486715	ENSCAFT00000014349
RASGRF1	ENST00000419573	ENSCAFT00000069124
USP6NL	ENST00000609104	ENSCAFT00000067371
HSF4	ENST00000264009	ENSCAFT00000032457
KCTD3	ENST00000259154	ENSCAFT00000086623
P2RY10	ENST00000171757	ENSCAFT00000027394
MARCHF7	ENST00000259050	ENSCAFT00000015043
SPINK8	ENST00000434006	ENSCAFT00000049805
PREB	ENST00000260643	ENSCAFT00000007541
TCF7L1	ENST00000282111	ENSCAFT00000012532
NQO2	ENST00000338130	ENSCAFT00000039135
FUT4	ENST00000358752	ENSCAFT00000039010
TRAP1	ENST00000246957	ENSCAFT00000090295
LGALS8	ENST00000341872	ENSCAFT00000063806
DLG1	ENST00000419354	ENSCAFT00000083128
MOGAT3	ENST00000223114	ENSCAFT00000022048
PPP2R5C	ENST00000334743	ENSCAFT00000093213
TIMP1	ENST00000218388	ENSCAFT00000092840
TMEM64	ENST00000458549	ENSCAFT00000066991
DEFB112	ENST00000322246	ENSCAFT00000087715
NADK2	ENST00000381937	ENSCAFT00000086512
ADIPOR2	ENST00000357103	ENSCAFT00000093031
PNISR	ENST00000369239	ENSCAFT00000005590
PHLDB3	ENST00000292140	ENSCAFT00000059545
RIT2	ENST00000326695	ENSCAFT00000067356
CDC26	ENST00000374206	ENSCAFT00000047186
HDAC4	ENST00000345617	ENSCAFT00000019989
SEMA3C	ENST00000265361	ENSCAFT00000010317
MAB21L2	ENST00000317605	ENSCAFT00000012720
VPS52	ENST00000383210	ENSCAFT00000001471
LXN	ENST00000264265	ENSCAFT00000014466
SPINK5	ENST00000256084	ENSCAFT00000010752
H2AJ	ENST00000389078	ENSCAFT00000020602
HFM1	ENST00000370425	ENSCAFT00000032148
SI	ENST00000264382	ENSCAFT00000022936
EML6	ENST00000356458	ENSCAFT00000004419
CCDC191	ENST00000295878	ENSCAFT00000017106
ORC5	ENST00000297431	ENSCAFT00000006657
ROCK2	ENST00000315872	ENSCAFT00000068297
EPS8L1	ENST00000201647	ENSCAFT00000086629
APOA5	ENST00000227665	ENSCAFT00000021156
LIPH	ENST00000296252	ENSCAFT00000021022
